RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
273;35_36_37;LivingRoom;D;Chair;-1.133;-0.252;0.926;-1.244;-0.377;0.557
274;35_36_37;LivingRoom;E;Table.001;-1.221;0.793;0.501;-1.196;0.731;0.348
275;35_36_37;LivingRoom;F;Vase.006;-1.914;-0.749;0.615;-2.09;-0.953;0.866
276;35_36_37;Bathroom;G;Sink;-5.098;-1.014;0.022;-4.68;-0.967;0.726
277;35_36_37;Bathroom;H;Toilet;-5.558;-0.05;0.17;-5.983;-0.403;0.467
278;35_36_37;Kitchen;I;Sink.001;-8.965;3.602;0.431;-8.803;3.63;0.708
279;35_36_37;Kitchen;J;Shelf.003;-6.519;1.827;1.893;-7.674;2.667;1.837
280;35_36_37;Bedroom;K;Lamp.019;-7.607;0.076;0.079;-7.726;0.053;0.348
281;36_37_38;LivingRoom;D;Chair;-1.152;-0.258;0.895;-1.244;-0.377;0.557
282;36_37_38;LivingRoom;E;Table.001;-1.249;0.781;0.435;-1.196;0.731;0.348
283;36_37_38;LivingRoom;F;Vase.006;-1.889;-0.76;0.579;-2.09;-0.953;0.866
284;36_37_38;Bathroom;H;Toilet;-5.565;-0.059;0.174;-5.983;-0.403;0.467
285;36_37_38;Kitchen;I;Sink.001;-8.894;3.613;0.51;-8.803;3.63;0.708
286;36_37_38;Kitchen;J;Shelf.003;-7.431;2.746;1.893;-7.674;2.667;1.837
287;36_37_38;Bedroom;K;Lamp.019;-7.542;0.093;0.001;-7.726;0.053;0.348
288;37_38_39;LivingRoom;D;Chair;-1.144;-0.24;0.867;-1.244;-0.377;0.557
289;37_38_39;LivingRoom;E;Table.001;-1.448;1.555;0.577;-1.196;0.731;0.348
290;37_38_39;LivingRoom;F;Vase.006;-1.932;-0.802;0.571;-2.09;-0.953;0.866
291;37_38_39;Bathroom;G;Sink;-5.179;-1.018;-0.092;-4.68;-0.967;0.726
292;37_38_39;Bathroom;H;Toilet;-5.544;-0.08;0.179;-5.983;-0.403;0.467
293;37_38_39;Kitchen;I;Sink.001;-8.867;3.595;0.528;-8.803;3.63;0.708
294;37_38_39;Kitchen;J;Shelf.003;-7.417;2.737;1.892;-7.674;2.667;1.837
295;37_38_39;Bedroom;K;Lamp.019;-7.513;0.082;-0.033;-7.726;0.053;0.348
296;38_39_1;LivingRoom;D;Chair;-1.159;-0.254;0.879;-1.244;-0.377;0.557
297;38_39_1;LivingRoom;E;Table.001;-1.237;0.775;0.509;-1.196;0.731;0.348
298;38_39_1;LivingRoom;F;Vase.006;-1.94;-0.779;0.55;-2.09;-0.953;0.866
299;38_39_1;Bathroom;G;Sink;-5.196;-1.008;-0.126;-4.68;-0.967;0.726
300;38_39_1;Bathroom;H;Toilet;-5.569;-0.07;0.161;-5.983;-0.403;0.467
301;38_39_1;Kitchen;I;Sink.001;-8.878;3.597;0.527;-8.803;3.63;0.708
302;38_39_1;Kitchen;J;Shelf.003;-7.418;2.743;1.891;-7.674;2.667;1.837
303;38_39_1;Bedroom;K;Lamp.019;-7.573;0.115;0.036;-7.726;0.053;0.348
304;39_1_2;LivingRoom;D;Chair;-1.163;-0.242;0.856;-1.244;-0.377;0.557
305;39_1_2;LivingRoom;E;Table.001;-1.259;0.788;0.445;-1.196;0.731;0.348
306;39_1_2;LivingRoom;F;Vase.006;-2.008;-0.807;0.587;-2.09;-0.953;0.866
307;39_1_2;Bathroom;G;Sink;-8.369;-0.591;-4.875;-4.68;-0.967;0.726
308;39_1_2;Bathroom;H;Toilet;-5.62;-0.05;0.097;-5.983;-0.403;0.467
309;39_1_2;Kitchen;I;Sink.001;-8.885;3.609;0.533;-8.803;3.63;0.708
310;39_1_2;Kitchen;J;Shelf.003;-7.421;2.734;1.886;-7.674;2.667;1.837
311;39_1_2;Bedroom;K;Lamp.019;-7.504;0.112;-0.007;-7.726;0.053;0.348
